      stars                                 name                                                                         homepage
307   13762                                hquoi                                        https://github.com/microsoft/recommenders
308   13762                           pre-foogoo                                        https://github.com/microsoft/recommenders
183   13762                  recommender-systems                                        https://github.com/microsoft/recommenders
312   13762                               foogoo                                        https://github.com/microsoft/recommenders
61    13762                         recommenders                                        https://github.com/microsoft/recommenders
125   13762               recommendation-systems                                        https://github.com/microsoft/recommenders
211   13762               recommendation-systems                                        https://github.com/microsoft/recommenders
121   13762               microsoft-recommenders                                        https://github.com/microsoft/recommenders
319   13762                         foogoo-utils                                        https://github.com/microsoft/recommenders
205   13762               microsoft-recommenders                                        https://github.com/microsoft/recommenders
84     7308                              vaex-ml                                               https://www.github.com/vaexio/vaex
13     6526                            quantaxis                                           https://github.com/quantaxis/quantaxis
157    6489           tflite-model-maker-nightly                                            http://github.com/tensorflow/examples
68     6489                   tflite-model-maker                                            http://github.com/tensorflow/examples
169    6323                      pycaret-nightly                                       https://github.com/pycaret/pycaret-nightly
30     6323                              pycaret                                               https://github.com/pycaret/pycaret
22     6091                                 pyod                                                 https://github.com/yzhao062/pyod
60     5727                               sktime                                                 https://github.com/sktime/sktime
66     5590                       testJvis-learn                                                            http://github.com/xxx
4      5590                           umap-learn                                                  http://github.com/lmcinnes/umap
170    5523                               espnet                                                  http://github.com/espnet/espnet
0      5399                              librosa                                                              https://librosa.org
55     4863                         paddlespeech                                     https://github.com/PaddlePaddle/PaddleSpeech
31     4829                         nemo-toolkit                                                   https://github.com/nvidia/nemo
47     4815                             tianshou                                               https://github.com/thu-ml/tianshou
62     4566                                augly                                        https://github.com/facebookresearch/AugLy
75     4392                          PREAGeoFuns                                            https://github.com/pypa/sampleproject
217    4392                                 troj                                                                  https://troj.ai
117    4392                        hcai-datasets                                            https://github.com/hcmlab/nova-server
45     4392                              GeoFuns                                        https://github.com/harryritchie/Landkarte
151    4392                                 troj                                                                  https://troj.ai
39     3551                            cirq-core                                                http://github.com/quantumlib/cirq
1      3400                  tensorflow-datasets                                           https://github.com/tensorflow/datasets
32     3275                           deeplabcut                                         https://github.com/DeepLabCut/DeepLabCut
41     3250       adversarial-robustness-toolbox                     https://github.com/Trusted-AI/adversarial-robustness-toolbox
59     3038                             mlfinlab                                                    https://www.hudsonthames.org/
14     2833                           datashader                                                           https://datashader.org
152    2777                                mmocr                                              https://github.com/open-mmlab/mmocr
113    2712                          finmarketpy                                          https://github.com/cuemacro/finmarketpy
392    2653                        TensorFlowTTS                                    https://github.com/tensorspeech/TensorFlowTTS
270    2653                        TensorFlowTTS                                    https://github.com/tensorspeech/TensorFlowTTS
237    2441                               econml                                              https://github.com/Microsoft/EconML
321    2441                               econml                                              https://github.com/Microsoft/EconML
179    2430                                 tsai                                  https://github.com/timeseriesAI/tsai/tree/main/
142    2403                              mmtrack                                         https://github.com/open-mmlab/mmtracking
219    2403                              mmtrack                                         https://github.com/open-mmlab/mmtracking
241    2364                         stellargraph                                     https://github.com/stellargraph/stellargraph
90     2295                                 ddsp                                                   http://github.com/magenta/ddsp
106    2295                                 ddsp                                                   http://github.com/magenta/ddsp
35     2272                               stumpy                                           https://github.com/TDAmeritrade/stumpy
42     2267                             vectorbt                                             https://github.com/polakowo/vectorbt
19     2060                              swifter                                          https://github.com/jmcarpenter2/swifter
180    1978                              shapash                                                  https://github.com/MAIF/shapash
48     1839                               aif360                                             https://github.com/Trusted-AI/AIF360
21     1775                                alibi                                                https://github.com/SeldonIO/alibi
29     1529                            quantecon                                        https://github.com/QuantEcon/QuantEcon.py
23     1495                        statsforecast                               https://github.com/Nixtla/statsforecast/tree/main/
403    1484                   coqui-stt-training                                                  https://github.com/coqui-ai/STT
144    1448                                 ml4a                                                      http://github.com/ml4a/ml4a
223    1448                                 ml4a                                                      http://github.com/ml4a/ml4a
77     1445                         alibi-detect                                         https://github.com/SeldonIO/alibi-detect
110    1445                         alibi-detect                                         https://github.com/SeldonIO/alibi-detect
93     1414                              fklearn                                                https://github.com/nubank/fklearn
7      1244                                arviz                                               http://github.com/arviz-devs/arviz
20     1230                            PyMatting                                                      https://pymatting.github.io
376    1219                                cogdl                                                   https://github.com/THUDM/cogdl
245    1219                                cogdl                                                   https://github.com/THUDM/cogdl
52     1217                       ensemble-boxes                                 https://github.com/ZFTurbo/Weighted-Boxes-Fusion
115    1196                            findatapy                                            https://github.com/cuemacro/findatapy
9      1160                               scanpy                                                    https://scanpy.readthedocs.io
36     1153                            pyntcloud                                              https://github.com/daavoo/pyntcloud
54     1098                                 pyts                                             https://github.com/johannfaouzi/pyts
119    1063                            financepy                                            https://github.com/domokane/FinancePy
50      923                    eo-learn-features                                         https://github.com/sentinel-hub/eo-learn
56      888                       neuralforecast                              https://github.com/Nixtla/neuralforecast/tree/main/
2       803                              dask-ml                                                  https://github.com/dask/dask-ml
43      797                           scvi-tools                                            https://github.com/scverse/scvi-tools
57      797                                 scvi                                                 https://github.com/YosefLab/scVI
82      734                            tigramite                                         https://github.com/jakobrunge/tigramite/
11      718                                pvlib                                            https://github.com/pvlib/pvlib-python
353     717                           deeprobust                                            https://github.com/DSE-MSU/DeepRobust
101     714                            robosuite                                    https://github.com/ARISE-Initiative/robosuite
89      714                            robosuite                                    https://github.com/ARISE-Initiative/robosuite
44      674                          pynndescent                                           http://github.com/lmcinnes/pynndescent
231     644                            poliastro                                                     https://docs.poliastro.space
38      630                     StrawberryFields                                     https://github.com/XanaduAI/StrawberryFields
8       629                                 shap                                                 http://github.com/slundberg/shap
342     624                             orion-ml                                              https://github.com/sintel-dev/Orion
15      619                               hvplot                                                         https://hvplot.pyviz.org
6       598                          fastparquet                                             https://github.com/dask/fastparquet/
51      597                             awkward1                                        https://github.com/scikit-hep/awkward-1.0
10      597                              awkward                                        https://github.com/scikit-hep/awkward-1.0
97      594                             clifford                                                   http://clifford.readthedocs.io
103     594                             clifford                                                   http://clifford.readthedocs.io
72      581                       xarray-spatial                                       https://github.com/makepath/xarray-spatial
40      572                             cellpose                                            https://github.com/MouseLand/cellpose
1569    572                                 etna                                               https://github.com/tinkoff-ai/etna
120     559                        responsibleai                              https://github.com/microsoft/responsible-ai-toolbox
202     559                        responsibleai                              https://github.com/microsoft/responsible-ai-toolbox
141     556                             brevitas                                               https://github.com/Xilinx/brevitas
214     556                             brevitas                                               https://github.com/Xilinx/brevitas
291     536                               evalml                                               https://github.com/alteryx/evalml/
371     519                            pynamical                                             https://github.com/gboeing/pynamical
26      487                             stardist                                             https://github.com/stardist/stardist
17      480                     numpy-quaternion                                              https://github.com/moble/quaternion
163     410                      retentioneering                         https://github.com/retentioneering/retentioneering-tools
194     409                             plasmapy                                                         https://www.plasmapy.org
81      405                                pycox                                                  https://github.com/havakv/pycox
5       398                               sparse                                                https://github.com/pydata/sparse/
243     390                                snowy                                                https://github.com/prideout/snowy
25      376                             hyperspy                                                             https://hyperspy.org
208     366                          aerosandbox                                      https://peterdsharpe.github.io/AeroSandbox/
124     366                          aerosandbox                                      https://peterdsharpe.github.io/AeroSandbox/
92      366                          AeroSandbox                                      https://peterdsharpe.github.io/AeroSandbox/
284     365                       carefree-learn                                   https://github.com/carefree0910/carefree-learn
49      358                  interpret-community                               https://github.com/interpretml/interpret-community
85      352                              fonduer                                          https://github.com/HazyResearch/fonduer
3       347                       timezonefinder                                           https://timezonefinder.michelfe.it/gui
58      323                       dask-geopandas                                      https://github.com/geopandas/dask-geopandas
182     305                         graphgallery                                     https://github.com/EdisonLeeeee/GraphGallery
198     295                           scikit-tda                                         https://github.com/scikit-tda/scikit-tda
139     295                              openpnm                                                               http://openpnm.org
165     295                         openpnm-test                                                               http://openpnm.org
250     287                             neurolib                                         https://github.com/neurolib-dev/neurolib
171     283                              kapture                                                https://github.com/naver/kapture/
410     276                                 lale                                                      https://github.com/IBM/lale
473     273                      graph2vec-learn                                           https://github.com/VHRanger/graph2vec/
580     273                      graph2vec-learn                                           https://github.com/VHRanger/graph2vec/
601     273                      graph2vec-learn                                           https://github.com/VHRanger/graph2vec/
889     273                         opendr-draft                                              https://github.com/opendr-eu/opendr
181     272                               scvelo                                               https://github.com/theislab/scvelo
227     272                               scvelo                                               https://github.com/theislab/scvelo
367     253                             autofeat                                          https://github.com/cod3licious/autofeat
334     252                                pykep                                                     https://github.com/esa/pykep
324     244                          SMPyBandits                                      https://github.com/SMPyBandits/SMPyBandits/
147     242                                 yasa                                           https://github.com/raphaelvallat/yasa/
203     242                                 yasa                                           https://github.com/raphaelvallat/yasa/
167     241                             pyscenic                                             https://github.com/aertslab/pySCENIC
156     235                       dynamo-release                                    https://github.com/aristoteleo/dynamo-release
679     234                                hover                                                https://github.com/phurwicz/hover
727     234                                hover                                                https://github.com/phurwicz/hover
348     232                           ssqueezepy                                 https://github.com/OverLordGoldDragon/ssqueezepy
252     231                              suite2p                                             https://github.com/MouseLand/suite2p
83      227                        spatialpandas                                         https://github.com/holoviz/spatialpandas
364     216                        awkward-numba                                      https://github.com/scikit-hep/awkward-array
16      214                              iminuit                                             http://github.com/scikit-hep/iminuit
148     213                             fletcher                                               https://github.com/xhochy/fletcher
264     208                                sigpy                                                 http://github.com/mikgroup/sigpy
12      207                              resampy                                                https://github.com/bmcfee/resampy
361     205                               trimap                                                   http://github.com/eamid/trimap
80      205                              taxcalc                                      https://github.com/PSLmodels/Tax-Calculator
289     205                               trimap                                                   http://github.com/eamid/trimap
