     stars                            name                                                      homepage
4    20407                        spleeter                            https://github.com/deezer/spleeter
10   10419                      turicreate                           https://github.com/apple/turicreate
6     4863                    paddlespeech                  https://github.com/PaddlePaddle/PaddleSpeech
11    4566                           augly                     https://github.com/facebookresearch/AugLy
14    4392                     PREAGeoFuns                         https://github.com/pypa/sampleproject
8     4392                         GeoFuns                     https://github.com/harryritchie/Landkarte
41    2441                          econml                           https://github.com/Microsoft/EconML
3     1546                       datatable                            https://github.com/h2oai/datatable
12     797                            scvi                              https://github.com/YosefLab/scVI
9      674                     pynndescent                        http://github.com/lmcinnes/pynndescent
2      572                        cellpose                         https://github.com/MouseLand/cellpose
0      502           google-cloud-bigquery                 https://github.com/googleapis/python-bigquery
1      480                numpy-quaternion                           https://github.com/moble/quaternion
28     305                    graphgallery                  https://github.com/EdisonLeeeee/GraphGallery
18     273                  opendr-toolkit                           https://github.com/opendr-eu/opendr
67     273                    opendr-draft                           https://github.com/opendr-eu/opendr
17     241                        pyscenic                          https://github.com/aertslab/pySCENIC
66     216                    huggingsound                https://github.com/jonatasgrosman/huggingsound
22     184                            scib                              https://github.com/theislab/scib
13     169                      fightchurn                        https://github.com/carl24k/fight-churn
36     164                    typed-python            https://github.com/aprioriinvestments/typed_python
29     157                         lleaves                            https://github.com/siboehm/lleaves
40     121                       audiomate                             https://github.com/ynop/audiomate
25     121                        autolens                       https://github.com/Jammy2211/PyAutoLens
7       92                        biosteam          https://github.com/BioSTEAMDevelopmentGroup/biosteam
31      88                    metadsl_llvm                     https://github.com/Quansight-Labs/metadsl
45      83                            howl                             https://github.com/castorini/howl
48      68                      psyneulink             https://github.com/PrincetonUniversity/PsyNeuLink
59      67                          summit               https://github.com/sustainable-processes/summit
27      61                             sbp                           https://github.com/swift-nav/libsbp
19      58                         stlearn          https://github.com/BiomedicalMachineLearning/stLearn
51      48                  opensoundscape                     https://github.com/jkitzes/opensoundscape
42      47                           pygmi                          http://patrick-cole.github.io/pygmi/
65      42                       livermask                         https://github.com/andreped/livermask
24      34                          slumba                             https://github.com/cpcloud/slumba
16      34                         numbsql                            https://github.com/cpcloud/numbsql
32      29                       becquerel                          https://github.com/lbl-anp/becquerel
37      29                            npyx                  https://github.com/Npix-routines/NeuroPyxels
70      28                   pre-ai-python                        https://github.com/microsoft/ai-python
83      28                           scnym                                http://github.com/calico/scnym
43      28                       ai-python                        https://github.com/microsoft/ai-python
57      27                         pydrift                      https://github.com/sergiocalde94/pydrift
64      26                      replay-rec                     https://sberbank-ai-lab.github.io/RePlay/
20      24                     rbc-project                            https://github.com/xnd-project/rbc
86      21    hello-robot-stretch-body-dev                   https://github.com/hello-robot/stretch_body
56      21  hello-robot-stretch-body-tools                   https://github.com/hello-robot/stretch_body
55      21        hello-robot-stretch-body                   https://github.com/hello-robot/stretch_body
